knl_name,co_name,atm,vskip,smf,tg_num_perCU,ps,subGU_m,subGU_n
_ZN5aiter47fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_1tg_32x256E,fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_1tg_32x256.co,0,1,0,1,0,32,256
_ZN5aiter49fmoe_bf16_blockscaleFp8_g1u1_novs_gelu_1tg_32x256E,fmoe_bf16_blockscaleFp8_g1u1_novs_gelu_1tg_32x256.co,0,0,0,1,0,32,256
_ZN5aiter50fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_1tg_ps_32x256E,fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_1tg_ps_32x256.co,0,1,0,1,1,32,256
_ZN5aiter52fmoe_bf16_blockscaleFp8_g1u1_novs_gelu_1tg_ps_32x256E,fmoe_bf16_blockscaleFp8_g1u1_novs_gelu_1tg_ps_32x256.co,0,0,0,1,1,32,256
_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_32x384E,fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_32x384.co,0,1,0,1,1,32,384
_ZN5aiter45fmoe_bf16_blockscaleFp8_g1u1_novs_gelu_32x384E,fmoe_bf16_blockscaleFp8_g1u1_novs_gelu_32x384.co,0,0,0,1,1,32,384
_ZN5aiter40fmoe_bf16_blockscaleFp8_g1u1_gelu_64x256E,fmoe_bf16_blockscaleFp8_g1u1_vs_gelu_1tg_ps_64x256.co,0,1,0,1,1,64,256
