cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.8886,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kb4_go_fp4,20.8%,7.5925,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.9%,25.4811,0,7.78,166354.28,
256,2,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,22.8149,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_kb7_xcd4_fp4,21.0%,13.1788,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,2.9%,35.9937,0,11.01,117768.15,
256,4,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,27.7235,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,19.7%,19.328,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic,2.9%,47.0515,0,16.85,90091.8,
256,8,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,51.6825,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_fp4,0.0%,29.1534,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.7%,80.8359,0,19.61,52440.07,
256,16,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,78.1272,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,44.6234,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,2.9%,122.7506,0,25.83,34535.17,
256,32,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,132.1537,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4_fp4,17.8%,67.5444,flydsl_moe2_afp4_wfp4_bf16_t16x256x256_atomic_bnt2_persist_sbm32,3.0%,199.6981,0,31.76,21229.83,
256,64,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,184.367,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,17.2%,101.1521,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_persist,2.9%,285.5191,0,44.42,14851.0,
256,128,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,219.1026,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2_fp4,17.3%,120.1837,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2,3.0%,339.2863,0,74.77,12501.6,
256,256,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,228.2939,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,17.3%,132.8644,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_sbm64,2.9%,361.1583,0,140.48,11752.11,
256,512,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,248.5047,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w4,0.0%,135.3295,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2,3.0%,383.8342,0,264.36,11072.17,
256,1024,7168,512,385,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,250.3871,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,17.2%,157.9713,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_sbm64,2.9%,408.3584,0,496.96,10434.19,
